# pax-britannica state trace
# frames=12000 lua=Lua 5.4
# frame hash live_actors factory fighter bomber frigate laser bomb missile
1 2c6e835d63820b69 18 0 0 0 0 0 0 0
2 0313147709bbed5f 19 0 0 0 0 0 0 0
3 bec10d15a09c4ca1 20 0 0 0 0 0 0 0
4 673c68258731a846 20 0 0 0 0 0 0 0
5 bdde3126d9369ada 20 0 0 0 0 0 0 0
6 29788147800d0323 20 0 0 0 0 0 0 0
7 a6df544c960c155d 20 0 0 0 0 0 0 0
8 378be1c7bb5c7386 20 0 0 0 0 0 0 0
9 e946fc50d03ab449 20 0 0 0 0 0 0 0
10 097a86985904bafd 20 0 0 0 0 0 0 0
11 9df3dcf3e95171ba 20 0 0 0 0 0 0 0
12 ea09bc67da3fe28b 20 0 0 0 0 0 0 0
13 78cea73d7215b483 20 0 0 0 0 0 0 0
14 5f3369ec7b2a1170 20 0 0 0 0 0 0 0
15 ca43fbdb30c3a2a1 21 0 0 0 0 0 0 0
16 0126c204d99d1b6b 21 0 0 0 0 0 0 0
17 a95c1ec69f65cfbb 21 0 0 0 0 0 0 0
18 edb5014517de3207 22 0 0 0 0 0 0 0
19 cecd45d26cd1cd05 22 0 0 0 0 0 0 0
20 f531c3c47d513501 22 0 0 0 0 0 0 0
21 7b8c3215ee48328d 23 0 0 0 0 0 0 0
22 1560da260022edcb 23 0 0 0 0 0 0 0
23 991cdec8b0d6b742 24 0 0 0 0 0 0 0
24 28ae9c4bfde8c1ac 25 0 0 0 0 0 0 0
25 ed06ec2ae561ff1f 26 0 0 0 0 0 0 0
26 0ee3e5aa15534df5 26 0 0 0 0 0 0 0
27 4977833b914349dc 26 0 0 0 0 0 0 0
28 a903cf23ea5d1bf9 26 0 0 0 0 0 0 0
29 5cd61330b382b79d 26 0 0 0 0 0 0 0
30 33ac474f6afd0f12 27 0 0 0 0 0 0 0
31 93f1ee3194a691e3 27 0 0 0 0 0 0 0
32 be033ac805c5e62c 27 0 0 0 0 0 0 0
33 b96972b6dcf48988 28 0 0 0 0 0 0 0
34 8b6f870a101797a6 28 0 0 0 0 0 0 0
35 b3d8e4bbefae4a58 28 0 0 0 0 0 0 0
